Pathway, States, Transitions, Path, Deadlock, Nondeterminism, Inaccessible States, Equivalent Transitions, Time (ms), Operation, Real Operation, Operands, Numeric, YesOrNo, Choice, Options, Addition, Real Addition, Subtraction, Real Subtraction, Multiplication, Real Multiplication, Division, Real Division, And, Real And, Or, Real Or, Xor, Real Xor, Implies, Real Implies, Affirmation, Real, Not Affirmation, Real Not, Equal, Real Equal, Greater, Real Greater, Greater or Equal, Real Greater or Equal, Less, Real Less, Less or Equal, Real Less or Equal
clinico_triploterapia_linha_afro,=11,=13,=4,=1,=1,=0,=0,=3,=6,=6,=5,=2,=2,=1,=2,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=2,=2,=2,=2,=2,=2,=0,=0,=0,=0,=0,=0,=0,=0
clinico_triploterapia_linha_ieca,=6,=7,=2,=0,=0,=0,=0,=2,=4,=4,=2,=0,=2,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=2,=2,=2,=2,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0
clinico_vulvovaginite,=17,=21,=16,=2,=2,=0,=0,=5,=13,=13,=9,=0,=9,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=1,=1,=0,=0,=0,=0,=0,=0,=8,=8,=4,=4,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0
hospitalar_acidente_vascular_cerebral_avc,=9,=8,=3,=2,=0,=0,=0,=1106276,=24,=79,=19,=4,=1,=14,=49,=5,=60,=0,=0,=0,=0,=0,=0,=4,=4,=3,=3,=0,=0,=0,=0,=2,=2,=1,=1,=2,=2,=1,=1,=2,=2,=4,=4,=0,=0
hospitalar_afeccoes_dermatologicas,=26,=28,=19,=3,=3,=0,=0,=19,=31,=37,=28,=2,=25,=1,=4,=4,=10,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=18,=18,=3,=3,=0,=0,=0,=0,=3,=3,=3,=3,=0,=0
hospitalar_afeccoes_dermatologicas_pediatrico,=34,=36,=27,=8,=3,=0,=0,=14,=36,=36,=28,=5,=18,=5,=16,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=18,=18,=2,=2,=16,=16,=0,=0,=0,=0,=0,=0,=0,=0
hospitalar_afeccoes_oftalmologicas,=6,=6,=5,=1,=0,=0,=0,=5,=8,=18,=12,=4,=7,=1,=4,=2,=12,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=4,=4,=0,=0,=1,=1,=1,=1,=0,=0
hospitalar_amniorrexe_prematura,=23,=26,=9,=2,=2,=3,=0,=5,=21,=22,=13,=0,=13,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=1,=2,=2,=2,=0,=0,=0,=0,=10,=10,=8,=8,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0
hospitalar_arboviroses_pediatrico,=24,=25,=12,=3,=0,=0,=0,=24,=21,=21,=13,=3,=3,=7,=29,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=3,=3,=3,=3,=7,=7,=0,=0,=4,=4,=4,=4,=0,=0
hospitalar_artrite_septica_pediatrica,=4,=3,=2,=0,=0,=0,=0,=1,=2,=2,=1,=0,=1,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=1,=1,=1,=1,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0
hospitalar_asma,=12,=13,=8,=1,=1,=1,=0,=3,=10,=10,=6,=0,=6,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=6,=6,=4,=4,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0
hospitalar_cefaleia,=13,=13,=11,=2,=1,=0,=0,=8,=15,=15,=9,=2,=5,=2,=8,=0,=0,=0,=0,=0,=0,=0,=0,=2,=2,=1,=1,=0,=0,=0,=0,=5,=5,=1,=1,=2,=2,=1,=1,=1,=1,=2,=2,=0,=0
hospitalar_celulite_pediatrico,=11,=12,=6,=1,=0,=0,=0,=6,=9,=9,=7,=3,=3,=1,=3,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=3,=3,=3,=3,=3,=3,=0,=0,=0,=0,=0,=0,=0,=0
hospitalar_chikungunya,=9,=8,=4,=1,=0,=0,=0,=10,=6,=6,=5,=2,=0,=3,=15,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=2,=2,=0,=0,=2,=2,=2,=2,=0,=0
hospitalar_conjuntivite_pediatrico,=9,=8,=4,=2,=0,=0,=0,=7,=5,=5,=5,=3,=0,=2,=5,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=5,=5,=0,=0,=0,=0,=0,=0,=0,=0
hospitalar_corrimento_vaginal,=16,=16,=11,=6,=0,=0,=0,=9,=16,=16,=10,=4,=0,=6,=14,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=16,=16,=0,=0,=0,=0,=0,=0,=0,=0
hospitalar_corrimento_vaginal_obstetrico,=16,=16,=11,=6,=0,=0,=0,=7,=16,=16,=10,=4,=0,=6,=14,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=16,=16,=0,=0,=0,=0,=0,=0,=0,=0
hospitalar_curativo,=3,=2,=2,=0,=0,=0,=0,=1,=2,=2,=1,=0,=1,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=1,=1,=1,=1,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0
hospitalar_dengue,=13,=13,=6,=2,=0,=0,=0,=8,=14,=28,=16,=2,=11,=3,=7,=4,=18,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=4,=4,=0,=0,=3,=3,=3,=3,=0,=0
hospitalar_diabetes_mellitus,=9,=8,=4,=1,=0,=0,=0,=3,=5,=5,=5,=3,=1,=1,=3,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=1,=1,=1,=1,=3,=3,=0,=0,=0,=0,=0,=0,=0,=0
hospitalar_diarreia,=27,=35,=22,=5,=2,=0,=0,=18,=30,=32,=21,=4,=13,=4,=15,=2,=4,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=10,=10,=3,=3,=11,=11,=0,=0,=2,=2,=2,=2,=0,=0
hospitalar_dispepsia,=17,=18,=9,=0,=0,=0,=0,=10,=17,=27,=14,=1,=13,=0,=0,=2,=12,=0,=0,=0,=0,=0,=0,=1,=1,=1,=1,=0,=0,=0,=0,=5,=5,=6,=6,=0,=0,=0,=0,=1,=1,=1,=1,=0,=0
hospitalar_dor_abdominal,=36,=49,=24,=2,=1,=1,=0,=47,=29,=29,=26,=2,=20,=4,=13,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=20,=20,=1,=1,=2,=2,=0,=0,=3,=3,=3,=3,=0,=0
hospitalar_dor_abdominal_na_mulher,=43,=45,=22,=4,=2,=0,=0,=14,=38,=43,=25,=3,=17,=5,=15,=0,=0,=0,=0,=0,=0,=0,=0,=1,=6,=0,=0,=0,=0,=0,=0,=16,=16,=10,=10,=5,=5,=0,=0,=3,=3,=3,=3,=0,=0
hospitalar_dor_abdominal_pediatrico,=39,=45,=27,=1,=0,=0,=0,=1827,=34,=34,=25,=14,=10,=1,=14,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=10,=10,=10,=10,=14,=14,=0,=0,=0,=0,=0,=0,=0,=0
hospitalar_dor_musculoesqueletica,=21,=20,=10,=2,=2,=0,=0,=4,=12,=12,=11,=0,=11,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=11,=11,=1,=1,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0
hospitalar_dor_toracica,=38,=44,=30,=2,=2,=0,=0,=13,=35,=35,=26,=2,=22,=2,=14,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=2,=2,=0,=0,=0,=0,=18,=18,=11,=11,=0,=0,=1,=1,=1,=1,=0,=0,=2,=2
hospitalar_dpoc,=11,=12,=6,=1,=0,=0,=0,=5,=14,=16,=10,=3,=4,=3,=9,=2,=4,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=2,=2,=2,=2,=4,=4,=0,=0,=2,=2,=2,=2,=0,=0
hospitalar_endometrite_puerperal,=3,=2,=2,=0,=0,=0,=0,=1,=4,=6,=4,=1,=3,=0,=0,=2,=4,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=1,=1,=1,=1,=0,=0
hospitalar_febre_sem_sinais_de_localizacao,=18,=21,=10,=1,=1,=0,=0,=5,=15,=15,=9,=0,=9,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=9,=9,=6,=6,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0
hospitalar_fratura_exposta,=5,=4,=3,=1,=1,=0,=0,=0,=4,=4,=3,=0,=3,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=3,=3,=1,=1,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0
hospitalar_geca_pediatrico,=13,=17,=13,=2,=2,=0,=0,=3,=12,=12,=9,=0,=9,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=9,=9,=3,=3,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0
hospitalar_gestacao_prolongada,=6,=5,=3,=1,=0,=0,=0,=2,=4,=4,=5,=3,=0,=2,=6,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=3,=3,=0,=0,=0,=0,=1,=1,=0,=0
hospitalar_hemorragia_digestiva_alta,=6,=5,=3,=1,=1,=0,=0,=7,=12,=36,=12,=2,=0,=10,=28,=4,=28,=0,=0,=0,=0,=0,=0,=0,=0,=2,=2,=0,=0,=0,=0,=0,=0,=0,=0,=3,=3,=0,=0,=2,=2,=1,=1,=0,=0
hospitalar_hemorragia_posparto,=10,=11,=7,=1,=1,=0,=0,=1,=8,=8,=5,=0,=5,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=5,=5,=3,=3,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0
hospitalar_hipertensao_arterial_sistemica,=13,=13,=7,=2,=1,=0,=0,=2,=14,=14,=9,=2,=6,=1,=2,=0,=0,=0,=0,=0,=0,=0,=0,=2,=2,=0,=0,=0,=0,=0,=0,=6,=6,=4,=4,=2,=2,=0,=0,=0,=0,=0,=0,=0,=0
hospitalar_ictericia_neonatal,=18,=19,=9,=4,=0,=0,=0,=4,=14,=14,=9,=3,=2,=4,=10,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=2,=2,=2,=2,=10,=10,=0,=0,=0,=0,=0,=0,=0,=0
hospitalar_infeccao_causada_pelo_herpes_virus,=16,=16,=10,=1,=2,=0,=0,=6,=19,=21,=14,=2,=11,=1,=4,=2,=4,=0,=0,=0,=0,=0,=0,=1,=1,=0,=0,=0,=0,=0,=0,=8,=8,=4,=4,=0,=0,=0,=0,=2,=2,=2,=2,=0,=0
hospitalar_infeccao_do_trato_urinario_em_gestante_itu,=11,=11,=6,=3,=0,=3,=0,=2,=11,=11,=8,=4,=1,=3,=7,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=1,=1,=0,=0,=0,=0,=1,=1,=1,=1,=8,=8,=0,=0,=0,=0,=0,=0,=0,=0
hospitalar_infeccao_do_trato_urinario_itu,=29,=29,=13,=2,=1,=0,=0,=17,=28,=50,=27,=2,=22,=3,=9,=4,=26,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=8,=8,=6,=6,=2,=2,=0,=0,=4,=4,=4,=4,=0,=0
hospitalar_insuficiencia_cardiaca,=9,=9,=5,=1,=0,=0,=0,=2,=6,=6,=6,=4,=1,=1,=4,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=1,=1,=1,=1,=4,=4,=0,=0,=0,=0,=0,=0,=0,=0
