Pathways; Result
clinico_dor_articular;{AuxilioConduta: [Inflamatória] Monoarticular ou Poliarticular?=[mono_ou_poliarticular=0,  1=1,  2=1], AuxilioConduta: [Monoarticular] Aguda ou Crônica?=[monoarticular_dor_aguda_ou_cronica=0,  2=1,  1=1], AuxilioConduta: [Poliarticular] Aguda ou Crônica?=[dor_poliarticular=0,  2=1,  1=1,  3=1]}
clinico_dor_lombar;{AuxilioConduta: Classificação da Intensidade da Dor=[classificacao_leve_moderada=0,  classificacao_dor_severa=0,  classificacao_dor_aguda_com_espasmos=0]}
clinico_duploterapia_linha_afro;{AuxilioConduta: Verificar Medicação=[medicacao_linha_duplo_afro=0,  UM=1,  DOIS=1]}
clinico_duploterapia_linha_ieca;{}
clinico_faringite;{AuxilioConduta: Definir Encaminhamentos=[imc_irregular=0,  7_ou_mais_episodios=0,  suspeita_difteria=1]}
clinico_hipercalemia;{}
clinico_hipertensao (2);{}
clinico_hipertensao;{AuxilioConduta: Avaliar critérios para prescrição=[hiper_criterios_ep01_has_controlado=0,  hiper_criterios_ep02=0,  hiper_criterios_ep03=0,  hiper_criterios_ep04=0,  hiper_criterios_ep05_ou_superior=0], null=[s9=0,  s17=0,  s20=0,  s25=0,  s26=0,  s27=0,  s28=0]}
clinico_hipertensao_duploterapia_bar;{}
clinico_hipertensao_monoterapia_bar;{}
clinico_hipertensao_triploterapia_bar;{}
clinico_hipotireoidismo;{AuxilioConduta: Critérios de Encaminhamento=[encaminhamento_menor_18_anos=0,  encaminhamento_tratamento_sem_resposta=0,  encaminhamento_bocio_ou_nodulo=0,  encaminhamento_hipotireoidismo_secundario=0,  encaminhamento_hipertireoidismo=0,  encaminhamento_gestante=0,  encaminhamento_menor_18_anos=0,  encaminhamento_tratamento_sem_resposta=0,  encaminhamento_gestante=0,  encaminhamento_bocio_ou_nodulo=0,  encaminhamento_hipotireoidismo_secundario=0,  encaminhamento_hipertireoidismo=0,  1=0]}
clinico_ieca__bbc__betabloqueador;{AuxilioConduta: Valores PS e PD=[valor_ps=1,  130=0,  159=0,  valor_pd=1,  80=0,  99=0,  160=0,  179=1,  100=2,  109=0]}
clinico_infeccao_do_trato_urinario;{AuxilioConduta: [Recém nascido] Sintomas=[recem_nascido_sintomas=1,  10=0], AuxilioConduta: [Retorno] Avaliar paciente=[avaliar_paciente=0,  1=1,  2=1,  3=1], AuxilioConduta: Avaliar idade=[faixa_etaria=0,  1=1,  2=1,  3=1,  4=1]}
clinico_insuficiencia_cardiaca;{AuxilioConduta: Classificar Estágio e Classe da Insuficiência Cardíaca=[estagio_b=1,  classe_1=0,  classe_2=0,  estagio_c=1,  classe_3=0,  classe_4=0,  estagio_a=0]}
clinico_itu_episodio__ou_retorno;{}
clinico_itu_verifica_episodio;{}
clinico_medico_de_familia_diarreia;{AuxilioConduta: Reavaliar Sinais e Sintomas=[sinais_sintomas_paciente=0,  UM=1,  DOIS=1,  TRES=1]}
clinico_medico_de_familia_itu;{}
clinico_medico_de_familia_vertigem;{AuxilioConduta: Classificar Vertigem=[vertigem_intensa=1,  nistagmo_horizontal=1,  nistagmo_fatigavel=1,  tinitus_ou_hipocacusia=1,  2=5,  vertigem_branda=1,  nistagmo_ataxico=1,  nistagmo_nao_fatigavel=0,  outros_sintomas_neurologicos=1], AuxilioConduta: Classificar Vertigem Posicional=[vertigem_posicional_meniere=0,  vertigem_posicional_vppb=0]}
clinico_monoterapia_linha_afro;{AuxilioConduta: Selecionar Medicação=[selecionar_medicacao_mono_linha_afro=0,  UM=1,  DOIS=1]}
clinico_monoterapia_linha_ieca;{}
clinico_nascer_bem_prematuridade;{}
clinico_nascer_bem_toxoplasmose;{}
clinico_otite_media_aguda;{AuxilioConduta: Escolher Tratamento: Adulto=[opcao_tratamento_adulto=0,  UM=1,  DOIS=1], AuxilioConduta: Escolher Tratamento: Pediátrico=[opcao_tratamento_pediatrico=0,  UM=1,  DOIS=1]}
clinico_parasitose;{AuxilioConduta: Sinais e Sintomas=[paras_sinais_sintomas=0,  UM=1,  TRES=1,  DOIS=1,  OITO=1,  QUATRO=1,  SETE=1,  CINCO=1,  SEIS=1,  NOVE=1], AuxilioConduta: Condições de Encaminhamento (Urgência)=[condicoes_encaminhamento=0,  UM=0,  DOIS=0]}
clinico_protocolo_farmacologico_afroamericano;{}
clinico_rinite_alergica;{AuxilioConduta: [Rinite Persistente] Idade=[rin_pers_6_a_11_meses=0,  rin_pers_12_meses_a_2_anos=0,  rin_pers_2_a_5_anos=0,  rin_pers_6_a_11_anos=0,  rin_pers_12_anos_a_adulto=0], AuxilioConduta: [Rinite Persisntente] Peso=[rin_pers_2_a_5_anos=1,  rin_pers_peso=1,  2=0,  1=0,  rin_pers_6_a_11_anos=1,  rin_pers_12_anos_a_adulto=1], AuxilioConduta: Classificação da Rinite=[classificacao_rinite=0,  1=1,  3=1,  4=1,  2=1], AuxilioConduta: [Rinite Intermitente] Idade=[rin_interm_6_a_11_meses=0,  rin_interm_11_meses_a_2_anos=0,  rin_interm_2_a_5_anos=0,  rin_interm_6_a_11_anos=0,  rin_interm_12_anos_adulto=0], AuxilioConduta: [Rinite Leve, Persistente ou Grave] Peso=[rin_leve_2_a_5_anos=1,  rinite_leve_peso=1,  1=0,  2=0,  rin_leve_6_a_11_anos=1,  rin_leve_acima_de_12_anos=1], AuxilioConduta: [Rinite Intermitente] Peso=[rin_interm_2_a_5_anos=1,  rin_interm_peso=1,  2=0,  1=0,  rin_interm_6_a_11_anos=1,  rin_interm_12_anos_adulto=1], AuxilioConduta: [Rinite Leve, Moderada ou Grave] Idade=[rin_leve_6_a_11_meses=0,  rin_leve_12_meses_2_anos=0,  rin_leve_2_a_5_anos=0,  rin_leve_6_a_11_anos=0,  rin_leve_acima_de_12_anos=0]}
clinico_sifilis;{}
clinico_sinusite;{AuxilioConduta: Diagnóstico Diferencial=[corpos_estranhos_nasais=0,  atresia_de_coana_unilateral=0,  rinite_alergica=0,  adenoidite=0], AuxilioConduta: [Sinusite] Avaliação do Quadro=[sinusite_Aguda=0,  sinusite_complicada=0,  sinusite_cronica=0,  sinusite_recorrente=0,  outras_doencas=0]}
clinico_tetraterapia_bar;{}
clinico_tetraterapia_linha_afro;{AuxilioConduta: Verificação de Medicação=[medicacao_linha_tetra_afro=0,  DOIS=1,  UM=1]}
clinico_tetraterapia_linha_ieca;{}
clinico_transplante_renal;{AuxilioConduta: Verificar sexo do paciente=[sexo_paciente=0,  1=1,  2=1]}
clinico_tratamento_dislipidemia__risco_alto;{}
clinico_tratamento_dislipidemia__risco_baixo;{AuxilioConduta: Selecionar Terapia=[terapia_medicação=0,  terapia_mudanca_estilo_vida=0,  terapia_medicacal_avulsa=0]}
clinico_tratamento_dislipidemia__risco_intermediario;{}
clinico_tratamento_dislipidemia__risco_muito_alto;{}
clinico_triploterapia_linha_afro;{AuxilioConduta: Verificação de Medicação=[medicacao_linha_triplo_afro=0,  UM=1,  DOIS=1]}
clinico_triploterapia_linha_ieca;{}
clinico_vulvovaginite;{AuxilioConduta: Consulta de Retorno=[vulvovaginite_recorrente=0,  resolucao_do_quadro_clinico=0,  paciente_hiv_positiva=0], AuxilioConduta: Verificar Sinais e Sintomas=[candidiase=0,  vaginose_bacteriana=0,  tricomoniase=0]}
hospitalar_acidente_vascular_cerebral_avc;{AuxilioConduta: Avaliar contraindicações=[nivel_consciencia=0,  p_nivel_consciencia=0,  c_nivel_consciencia=0,  m_olhar_conjugado=0,  campos_visuais=0,  paralisia_facial=0,  membros_superiores=10,  membros_inferiores=10,  ataxia_membros=0,  sensibilidade=0,  linguagem_afasia=5,  disartia=0,  extincao_desatencao=0,  contra_indicacao_trombolise=0], AuxilioConduta: Hora de ínicio=[hora_inicio=0]}
hospitalar_afeccoes_dermatologicas;{AuxilioConduta: [Afecções das Unhas] Sintomas=[unha_encravada_sem_infeccao=0,  onicomicose=0,  unha_encravada_com_infeccao=0], AuxilioConduta: Avaliação do Quadro=[celulite=0,  urticaria=0,  impetigo=0,  pe_diabetico=0,  escabiose=0,  queimaduras=0,  afeccoes_das_unhas=0,  cispo_pilonidal=0,  abcesso_cutaneo=0], AuxilioConduta: Definir Grau da Queimadura=[queimadura_grau_i=0,  queimadura_grau_ii=0,  queimadura_grau_iii=0]}
hospitalar_afeccoes_dermatologicas_pediatrico;{AuxilioConduta: [Afecções das Unhas] Sintomas=[unha_encravada_sem_infeccao=0,  onicomicose=0,  unha_encravada_com_infeccao=0], AuxilioConduta: [Dermatites] Avaliar=[tipo_dermatite=0], AuxilioConduta: Avaliação do Quadro=[celulite=0,  urticaria=0,  impetigo=0,  queimaduras=0,  afeccoes_das_unhas=0,  cispo_pilonidal=0,  abcesso_cutaneo=0,  dermatites=0,  micoses=0,  parasitoses=0], AuxilioConduta: Definir Grau da Queimadura=[queimadura_grau_i=0,  queimadura_grau_ii=0,  queimadura_grau_iii=0], AuxilioConduta: [Parasitoses] Avaliar=[tipo_parasitose=0], AuxilioConduta: [Micoses] Avaliar=[tipo_micose=0], AuxilioConduta: [Candidíase] Localização=[localizacao_candidiase=0], AuxilioConduta: [Tineas] Avaliar=[avaliar_tineas=0]}
hospitalar_afeccoes_oftalmologicas;{AuxilioConduta: Diagnosticar paciente=[diagnostico=0]}
hospitalar_amniorrexe_prematura;{AuxilioConduta: Verificar Idade Gestacional=[ig-menor-24=0,  ig-entre-24-33=0,  ig-maior-igual-34=0], AuxilioConduta: Verificar Via de Parto=[opcao-parto-cesarea=0,  opcao-parto-normal=0]}
hospitalar_arboviroses_pediatrico;{AuxilioConduta: [Chikungunya] Avaliar fase=[ckya_fase=0], AuxilioConduta: Avaliar tipo de arbovirose=[tipo_arbovirose=0], AuxilioConduta: [Dengue] Grupo B - Avaliar Primeiros Exames=[dengue_grupob_hemograma01=0]}
hospitalar_artrite_septica_pediatrica;{}
hospitalar_asma;{AuxilioConduta: Avaliar Intensidade da Crise=[crise_leve=0,  crise_moderada_ou_grave=0]}
hospitalar_cefaleia;{AuxilioConduta: Avaliar Sintomas/Sinais de Gravidade=[sintomas=0,  cefaleia_primaria=0], AuxilioConduta: [Cefaleia Primaria] Classificar Cefaleia=[cefaleia_primaria_tensional=0,  cefaleia_primaira_em_salvas=0,  cefaleia_primaria_enxaqueca=0,  retorno=0]}
hospitalar_celulite_pediatrico;{AuxilioConduta: Classificar celulite=[tipo_celulite=0]}
hospitalar_chikungunya;{AuxilioConduta: Definir fase=[fase_doenca=0]}
hospitalar_conjuntivite_pediatrico;{AuxilioConduta: Avaliar Hiperemia Conjuntival=[hiperemia_conjuntival=0], AuxilioConduta: Avaliar Sintomas=[sintomas=0]}
hospitalar_corrimento_vaginal;{AuxilioConduta: Verificar tipo do corrimento da gestante=[tipo_corrimento_gestante=0], AuxilioConduta: Quantidade de episódios=[qtd_episodios=0], AuxilioConduta: Verificar tipo do corrimento da não gestante=[tipo_corrimento_n_gestante=0], AuxilioConduta: Verificar gravidez=[gravidez=0], AuxilioConduta: Classificar aspectos do corrimento da não gestante=[corrimento_patologico_n_gestante=0], AuxilioConduta: Classificar aspectos do corrimento da gestante=[corrimento_patologico_gestante=0]}
hospitalar_corrimento_vaginal_obstetrico;{AuxilioConduta: Verificar tipo do corrimento da gestante=[tipo_corrimento_gestante=0], AuxilioConduta: Quantidade de episódios=[qtd_episodios=0], AuxilioConduta: Verificar tipo do corrimento da não gestante=[tipo_corrimento_n_gestante=0], AuxilioConduta: Verificar gravidez=[gravidez=0], AuxilioConduta: Classificar aspectos do corrimento da gestante=[corrimento_patologico_gestante=0], AuxilioConduta: Classificar aspectos do corrimento da não gestante=[corrimento_patologico_n_gestante=0]}
hospitalar_curativo;{}
hospitalar_dengue;{AuxilioConduta: Avaliar Hemograma=[hematocrito=0], AuxilioConduta: Avaliar Hemograma (2)=[hematocrito_2=0]}
hospitalar_diabetes_mellitus;{AuxilioConduta: Classificar cenário do paciente diabético=[estado_do_paciente=0]}
hospitalar_diarreia;{AuxilioConduta: [Grupo B] Reavaliar paciente=[semsinais_semdesidratacao=0,  comsinais_semdesidratacao=0,  semsinais_comdesidratacao=0,  comsinais_comdesidratacao=0], AuxilioConduta: Avaliar paciente=[grupo_paciente=0], AuxilioConduta: [Grupo A] Sinais de Gravidade=[grupoA_sinais_gravidade=0], AuxilioConduta: [Grupo B com Diarreia Cronica] Avaliar exames e melhora=[semalteracoes_commelhora=0,  semalteracoes_semmelhora=0,  comalteracoes=0], AuxilioConduta: [Grupo B] Sinais de Gravidade=[grupoB_sinais_gravidade=0]}
hospitalar_dispepsia;{}
hospitalar_dor_abdominal;{AuxilioConduta: Classificar suspeita conforme dor=[obstucao_intestinal=0,  pancreatite_aguda=0,  nefrolitíase=0,  apendicite_aguda=0,  colecistite_aguda=0,  diverticulite_aguda=0,  doenca_inflamatoria_pelvica=0,  ulcera_gastrica=0,  dor_apos_trauma=0,  torcao_do_ovario=0,  colangite_aguda=0,  aneurisma_aorta_abdominal=0,  dispepsia_drge=0,  gravidez_ectopica=0,  infarto_mesenterico=0,  hernia_abdominal=0,  diagnostico_inconclusivo=0,  dor_abdominal_simples=0,  mais_de_duas_ocorrencias=0], AuxilioConduta: [Hérnia Abdominal] Avaliar hérnia=[tipo_hernia=0]}
hospitalar_dor_abdominal_na_mulher;{AuxilioConduta: Avaliar condição da mulher=[gestante_ou_nao=0], AuxilioConduta: [Gestante] Classificar suspeita conforme dor=[obstrucao_intestinal=0,  dispepsia_drge=0,  dor_abdominal_simples=0,  suspeita_ITU=0,  dores_causa_nao_obstetrica=0,  gestante_complicacoes_obstetricas=0], AuxilioConduta: [Não Gestante] Classificar suspeita conforme dor=[ngestante_dor_abdominal_simples=0,  ngestante_suspeita_itu=0,  ngestante_dores_sangramento=0,  ngestante_dip=0,  ngestante_gravidez_ectopica=0,  ngestante_torcao_ovario=0,  ngestante_dores_nao_ginecologica=0], AuxilioConduta: [Não gestante] [SUD] Avaliar=[ngestante_sud_avaliar=0]}
hospitalar_dor_abdominal_pediatrico;{AuxilioConduta: [Sem irritação peritoneal] Avaliar foco=[sem_irrit_avaliar_foco=0]}
hospitalar_dor_musculoesqueletica;{AuxilioConduta: Monoartrite Aguda=[artrite_septica=0,  artrite_gotosa=0,  artrite_pos_traumatica=0], AuxilioConduta: Classificar Dor=[monoartrite=0,  oligo_ou_poliartrite=0,  artrite_cronica=0,  artralgia_osteoartrose=0,  trauma_musculoesqueletico=0,  tendinite_tendossino_epicondi_bucite_dort=0,  trauma_com_fratura_ou_limitacao=0]}
hospitalar_dor_toracica;{AuxilioConduta: Caracterização da Dor Torácica=[dor_tipo_A=0,  dor_tipo_B=0,  dor_tipo_C=0,  dor_tipo_D=0], AuxilioConduta: Procurar outras causas=[outras_causas_pneumonia=0,  outras_causas_tep_pneumotorax=0,  outras_causas_disseccao=0,  outras_causas_pericardite=0,  outras_causas_drge_espasmo_esofagiano=0,  outras_cauasas_dor_musculo_esqueletica=0,  outras_causas_dor_psicogenica=0]}
hospitalar_dpoc;{AuxilioConduta: Avaliar Resposta=[resposta_a_medicacao=0]}
hospitalar_endometrite_puerperal;{}
hospitalar_febre_sem_sinais_de_localizacao;{AuxilioConduta: Avaliar Idade=[idade_menor_28_ddv=0,  idade_1_a_3_meses=0,  idade_maior_3_meses=0]}
hospitalar_fratura_exposta;{AuxilioConduta: Verificar Grau da Fratura=[frat-grau12=0,  frat-grau34=0]}
hospitalar_geca_pediatrico;{AuxilioConduta: [Desidratação Leve] Idade do Paciente=[menor_dois_meses=0,  maior_dois_meses=0], AuxilioConduta: Grau de Desidratação=[grupo_A=0,  grupo_b=0,  grupo_c=0,  nauseas_vomitos=0]}
hospitalar_gestacao_prolongada;{AuxilioConduta: Avaliar Idade Gestacional e comorbidades=[idade_gestacional=0]}
hospitalar_hemorragia_digestiva_alta;{AuxilioConduta: Marcador de Risco=[glasgow_ureia=0,  glasgow_hemoglobina_homem=0,  glasgow_pas=0,  glasgow_pulso=0,  glasgow_melena=0,  glasgow_sincope=0,  glasgow_doenca_hepatica=0,  glasgow_insuficiencia_cardiaca=0,  zero=1,  glasgow_hemoglobina_mulher=0]}
hospitalar_hemorragia_posparto;{AuxilioConduta: Avaliar Condição=[condicao_atonia_uterina=0,  condicao_resto_placentario=0]}
hospitalar_hipertensao_arterial_sistemica;{AuxilioConduta: Apresenta Sintomas Associados?=[sintomas_associados=0,  episodio_has=0], AuxilioConduta: Classificar Hipertensão=[emergencia_hipertensiva=0,  urgencia_hipertensiva=0,  pseudocrise_hipertensiva=0]}
hospitalar_ictericia_neonatal;{AuxilioConduta: Verificar tempo de vida=[tempo_vida=0], AuxilioConduta: Avaliar ultrassom=[resultado_ultrassom=0], AuxilioConduta: Avaliar exames=[resultado_exames=0], AuxilioConduta: Avaliar resultado=[fototerapia=0]}
hospitalar_infeccao_causada_pelo_herpes_virus;{AuxilioConduta: Avaliação do Quadro=[herpes_genital=0,  herpes_labial=0,  herpes_zoster=0,  varicela=0]}
hospitalar_infeccao_do_trato_urinario_em_gestante_itu;{AuxilioConduta: Verificar quantidade de episódios=[qtd_episodios=0], AuxilioConduta: Verificar sintomas=[sintomas=0], AuxilioConduta: Avaliar resultado Sumário de Urina=[sumario_urina=0]}
hospitalar_infeccao_do_trato_urinario_itu;{AuxilioConduta: [Pielonefrite] Avaliar Resultados dos Exames=[resultado_exames=0], AuxilioConduta: Informar Sexo do paciente=[sexo_masculino=0,  sexo_feminino=0]}
hospitalar_insuficiencia_cardiaca;{AuxilioConduta: Investigar Sintomas=[congestao_perfusao=0]}
hospitalar_ivas;{AuxilioConduta: Avaliar Sintomas Específicos=[sintomas_influenza=0,  sintomas_resfriado=0,  sintomas_amigdalite=0,  sintomas_rinite=0,  rinite=0], AuxilioConduta: Avaliar a Etiologia=[rino_etiologia_viral=0,  rino_etiologia_bacteriana=0,  rino_etiologia_alergica=0]}
hospitalar_ivas_pediatrico;{AuxilioConduta: [Otite] Avaliar otite=[tipo_otite=0], AuxilioConduta: [Amigdalite] Verificar tipo=[foco_amigdalite=0], AuxilioConduta: Avaliar quadro de IVAS=[quadro_ivas=0], AuxilioConduta: [Resfriado comum] Avaliar exames=[S37 (exames alterados)=0,  resfriado_alteracao_exames=1]}
hospitalar_laringite_pediatrico;{}
hospitalar_lombalgia;{AuxilioConduta: Classificar quadro do paciente=[quadro_paciente=0]}
hospitalar_meningite;{}
hospitalar_nauseas_e_vomitos;{AuxilioConduta: Sintomas do Paciente=[emese_gravidica=0,  cefaleia_nauseas_vomitos=0,  dor_abdominal_nauseas_vomitos=0,  dor_toracico_nauseas_vomitos=0,  diarreia_nauseas_vomitos=0,  dor_lombar_nauseas_vomitos=0,  tontura_nauseas_vomitos=0,  tratamento_quimioterapico_nauseas_vomitos=0,  ingestao_alcool_nauseas_vomitos=0,  sem_causa_aparente_nauseas_vomitos=0]}
hospitalar_nauseas_e_vomitos_obstetrico;{AuxilioConduta: Sintomas do Paciente=[emese_gravidica=0,  cefaleia_nauseas_vomitos=0,  dor_abdominal_nauseas_vomitos=0,  dor_toracico_nauseas_vomitos=0,  diarreia_nauseas_vomitos=0,  dor_lombar_nauseas_vomitos=0,  tontura_nauseas_vomitos=0,  tratamento_quimioterapico_nauseas_vomitos=0,  ingestao_alcool_nauseas_vomitos=0,  sem_causa_aparente_nauseas_vomitos=0]}
hospitalar_neutropenia_febril;{}
hospitalar_otalgia;{AuxilioConduta: Classificar Quadro de Otalgia=[acometimento_pavilhao_auricular=0,  otite_externa=0,  otite_media=0], AuxilioConduta: Classificar Otite Média=[otite_media_aguda=1,  otite_media_cronica=1], Tratamento: Medicação para dor=[acometimento_pavilhao_auricular=0,  otite_media=0,  otite_externa=0]}
hospitalar_pneumonia_adquirida_na_comunidade;{AuxilioConduta: Avaliar Exames=[nivel_alteracao_radiologica=0], AuxilioConduta: Avaliar quadro=[sinais_de_alarme=0], AuxilioConduta: [Retorno] Avaliar=[retorno_avaliar=0], AuxilioConduta: Avaliar exames=[exames_laboratoriais=0]}
hospitalar_pneumonia__influenza;{}
hospitalar_ramo;{AuxilioConduta: Verificar idade gestacional=[idade_gestacional_pp=0], AuxilioConduta: [>= 20 sem] Avaliar sinais=[sinais=0], AuxilioConduta: [Sinais de infecção] Confirmar infecção=[confirmar_infeccao=0], AuxilioConduta: Avaliar idade gestacional=[idade_gestacional=0], AuxilioConduta: [Sinais de SFA] Confirmar=[sinais_sfa=0], AuxilioConduta: Confirmar infecção=[confirmar_infeccao_apos_exames=0,  confirmar_infeccao=0], AuxilioConduta: [TP] Idade Gestacional=[tp_idade_gestacional=0]}
hospitalar_sepse_pediatrico;{AuxilioConduta: Identificar foco da SEPSE=[foco_pneumonia=0,  foco_pielonefrite=0,  foco_meningite=0,  foco_outro_foco=0,  foco_abdome_agudo=0,  foco_partes_moles=0,  foco_neutropenia_febril=0,  foco_infeccao_neonatal=0]}
hospitalar_sibilancia_na_infancia;{AuxilioConduta: [> 2 anos] Verificar sintomas=[>2anos_quadro_paciente=0], AuxilioConduta: [< 2 anos] Verificar sintomas=[<2anos_quadro_paciente=0], AuxilioConduta: [Corpos estranhos] Avaliar exame=[corpos_estranhos_alteracao_imagem=0], AuxilioConduta: Avaliar Resposta=[resposta_tratamento=0], AuxilioConduta: [BVA] Avaliar alteração=[bva_alteracao=0], AuxilioConduta: Avaliar Intensidade da Crise=[intensidade_crise=0], AuxilioConduta: [BVA] Avaliar saturação=[bva_saturacao=0]}
hospitalar_sindrome_hipertensiva;{AuxilioConduta: [PA = 140] Avaliar uso de medicação=[pa140_uso_medicacao=0], AuxilioConduta: [PA =  140] Avaliar exames=[pa140_exames=0], AuxilioConduta: Avaliar Idade Gestacional (Inicial)=[idade_gestacional=0], AuxilioConduta: [<20 sem] Avaliar pressão=[menor20_pressao=0], AuxilioConduta: [Puerpério] Avaliar exames=[puerperio_exames=0], AuxilioConduta: [PA > 150 e < 160] Avaliar exames=[pa150_160_exames=0], AuxilioConduta: [IG >= 20] Avaliar Quadro=[maior20_pressao=0,  maior20_sinais_cronicos=0,  maior20_exames_laboratoriais=0,  maior20_usg=0], AuxilioConduta: [Puerpério] Avaliar quadro=[pressao_puerperio=0,  avaliar_quadro_puerperio_novo=0]}
hospitalar_tce_pediatrico;{AuxilioConduta: [TCE Leve ou Moderado] Idade do Paciente=[menor_tres_meses=0,  entre_tres_meses_dois_anos=0,  maior_dois_anos=0], AuxilioConduta: Avaliar quadro de TCE=[quadro_tce=0]}
hospitalar_tontura_e_vertigem;{AuxilioConduta: Classificar como Tontura ou Vertigem=[tontura=1,  vertigem=1], AuxilioConduta: [Ménière] Classificar quadro=[fase_aguda=1,  meniere_fase_subaguda_ou_cronica=1], AuxilioConduta: Classificar suspeita de doença=[vertigem_posicional_paroxistica_benigna=0,  neurite_vestibular=1,  doenca_de_meniere=0,  mastoidite_envolvimento_labirinto=1,  trauma=0]}
hospitalar_trabalho_de_parto_prematuro;{AuxilioConduta: Avaliar condições=[condicoes=0], AuxilioConduta: Reavaliar=[reavaliacao=0]}
hospitalar_tratamento_de_sepse;{AuxilioConduta: Identificar Foco Infeccioso=[trat_sepse_pneumo_comunit=0,  trat_sepse_pneumo_hosp=0,  trat_sepse_cistite=0,  trat_sepse_pielonefrite=0,  trat_sepse_meningite=0,  trat_sepse_partes_moles=0,  trat_sepse_abdominal=0,  trat_sepse_neutropenia=0,  trat_sepse_infeccao_sanguinea=0,  trat_sepse_indeterminado=0]}
hospitalar_tratamento_de_sirs;{AuxilioConduta: Identificar foco infeccioso=[trat_sirs_pneumo_comun=0,  trat_sirs_pneumo_hosp=0,  trat_sirs_cistite=0,  trat_sirs_pielonefrite=0,  trat_sirs_meningite=0,  trat_sirs_partes_moles=0,  trat_sirs_abdominal=0,  trat_sirs_neutropenia=0]}
hospitalar_tromboembolismo_pulmonar_tep;{AuxilioConduta: Avaliar D'DIMERO=[d_dimero=0]}
hospitalar_trombose_venosa_profunda_tvp;{AuxilioConduta: Escore de Wells=[tep=0,  escore_wells=0,  0=1]}
hospitalar_urticaria_pediatrico;{AuxilioConduta: Verificar Sintomas=[sintoma_paciente=0]}
hospitalar_verificar_arbovirose;{AuxilioConduta: Avaliar tipo de arbovirose=[tipo_arbovirose=0]}
hospitalar_verifica_sepse;{}
hospitalar_zika;{}
